Event	ID	Name			Wwise Object Path	Notes
	97193572	powerUp_scanner			\Default Work Unit\PowerUps\powerUp_scanner	
	192017233	gate_close			\Default Work Unit\Lobby\gate_close	
	506812678	powerUp_pickUp			\Default Work Unit\Menu\powerUp_pickUp	
	879922986	lobby_rocket			\Default Work Unit\Lobby\lobby_rocket	
	934594543	powerUp_communicator			\Default Work Unit\PowerUps\powerUp_communicator	
	1075926368	generator_repair			\Default Work Unit\Items\generator_repair	
	1327556595	tile_move			\Default Work Unit\Tile\tile_move	
	1340413442	lobby_start			\Default Work Unit\Lobby\lobby_start	
	1367503038	tile_expell			\Default Work Unit\Tile\tile_expell	
	1847000442	roll_dice			\Default Work Unit\Menu\roll_dice	
	2092420523	lobby_smallButton			\Default Work Unit\Lobby\lobby_smallButton	
	2177967876	item_drop			\Default Work Unit\Items\item_drop	
	2388944346	powerUp_medipack			\Default Work Unit\PowerUps\powerUp_medipack	
	2602462504	powerUp_shutdown			\Default Work Unit\PowerUps\powerUp_shutdown	
	2613980178	generator_finish			\Default Work Unit\Items\generator_finish	
	2886407174	lobby_join			\Default Work Unit\Lobby\lobby_join	
	3077118699	character_footstep			\Default Work Unit\Character\character_footstep	
	3328279379	gate_open			\Default Work Unit\Lobby\gate_open	
	3873244585	powerUp_doorhack			\Default Work Unit\PowerUps\powerUp_doorhack	
	3991942870	Music			\Default Work Unit\Music\Music	

Switch Group	ID	Name			Wwise Object Path	Notes
	436743010	character			\Default Work Unit\character	

Switch	ID	Name	Switch Group			Notes
	2299321487	enemy	character			
	3579833620	trace	character			
	4136758402	crew	character			

State Group	ID	Name			Wwise Object Path	Notes
	4091656514	GameState			\Default Work Unit\GameState	

State	ID	Name	State Group			Notes
	290285391	Lobby	GameState			
	748895195	None	GameState			
	984691642	InGame	GameState			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2470328564	intensity			\Default Work Unit\intensity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10210857	designed_futuristic_ship_enigne_booster_01	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\designed_futuristic_ship_enigne_booster_01_C196E905.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lobby\lobby_rocket\lobby_rocket\designed_futuristic_ship_enigne_booster_01		860060
	11078488	GameLead	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\game_lead_03_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AllGameMusic\Game\Lead\GameLead		1234864
	56275808	PremiumBeat_0046_sci_fi_readout_beep	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\PremiumBeat_0046_sci_fi_readout_beep_593FA99E.wem		\Actor-Mixer Hierarchy\Default Work Unit\PowerUps\powerUp_doorhack\PremiumBeat_0046_sci_fi_readout_beep		63068
	85594683	GameLead	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\game_lead_04_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AllGameMusic\Game\Lead\GameLead		1234864
	95399779	footstep_metalplate_boot_01	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\footstep_metalplate_boot_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\character_footstep\crew_footstep\footstep_metalplate_boot_01		60044
	116056994	game_bass_01	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\game_bass_01_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AllGameMusic\Game\Lead\game_bass_01		1234864
	163034218	footstep_bigmetalplate_shoe_lightboots_trampling_02	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\footstep_bigmetalplate_shoe_lightboots_trampling_02_EE5A207D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\character_footstep\trace_footstep\footstep_bigmetalplate_shoe_lightboots_trampling_02		82900
	193528008	PremiumBeat_0013_cursor_click_11	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\PremiumBeat_0013_cursor_click_11_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lobby\lobby_startMatch\PremiumBeat_0013_cursor_click_11		192060
	211823110	roll_dice_06	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\roll_dice_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\roll_dice\roll_dice_06		5380
	249031571	roll_dice_01	C:\Users\Jonas\Documents\Uni\HSDMasterMedieninformatik\ARBoardgame\Labyrinth\Wwise\DVL\.cache\Android\SFX\roll_dice_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\roll_dice\roll_dice_01		5380
